Indiv,circ10504,circ1057,circ12095,circ12207,circ12297,circ12861,circ13522,circ13670,circ14091,circ14192,circ14478,circ14544,circ15905,circ16286,circ16822,circ16827,circ17231,circ17403,circ17406,circ17411,circ17606,circ17709,circ18268,circ18608,circ18795,circ19323,circ196,circ20012,circ202,circ20464,circ206,circ2066,circ20873,circ21294,circ21473,circ217,circ22417,circ22526,circ22965,circ246,circ25503,circ26539,circ2748,circ27587,circ3279,circ3518,circ364,circ3752,circ4215,circ4735,circ5511,circ5522,circ5918,circ5960,circ5999,circ6066,circ6877,circ7177,circ7852,circ8487
AT10_TC,0.0266,0.0798,0.0266,0.0133,0,0.0133,0,0,0.0266,0,0.0399,0,0.0133,0.0266,0.0266,0.0133,0.0133,0,0.0399,0.0133,0,0.0399,0.0133,0.0133,0,0,0,0,0.0798,0,0.0399,0,0.1596,0.0133,0.0665,0,0.0399,0.0399,0.0266,0.0798,0.1729,0.0399,0.0133,0.0133,0.0133,0.2261,0,0,0.0133,0.0133,0,0.3192,0.0133,0.0266,0,0,0.0133,0.0399,0.0399,0
AT11_FC,0.013,0.039,0.0779,0.026,0.026,0.013,0.013,0,0.026,0.026,0,0,0.0909,0.0649,0,0.013,0.013,0.013,0.039,0.0649,0.013,0.0519,0,0.013,0,0.026,0.039,0.013,0.013,0.013,0.013,0,0.0519,0.013,0.026,0.026,0,0,0.026,0.0909,0,0.026,0.013,0,0.013,0.039,0.013,0,0,0,0,0.0779,0.0519,0.039,0.013,0.039,0,0.039,0,0
AT11_TC,0.0184,0.0367,0.0184,0,0.0735,0.0184,0.0551,0.0184,0.0184,0.0367,0,0.0184,0.0551,0.0184,0,0.0184,0,0.0367,0.0551,0,0.0367,0.0184,0,0,0.0551,0.0551,0,0,0.0184,0.0367,0.0184,0.0184,0.0919,0.0367,0,0,0,0.0367,0,0.1102,0.0184,0.0367,0,0,0,0,0,0,0.0184,0,0,0.0367,0.0551,0.0184,0,0.147,0.0551,0.0367,0,0
AT13_FC,0.0231,0.0807,0.0115,0,0,0,0.0231,0.0461,0.0346,0.0231,0.0115,0.0115,0.0576,0.0807,0.0346,0,0,0.0115,0,0,0.0346,0.1038,0,0,0,0.0576,0.0346,0.0231,0,0,0.0115,0,0.0115,0.0346,0,0,0,0.0115,0,0.0231,0,0,0,0,0,0.0346,0.0115,0,0.0346,0,0,0.0576,0.0346,0.0346,0.0231,0,0,0,0,0
AT13_TC,0.0489,0.0245,0.0734,0,0,0,0.0489,0,0,0,0.0245,0,0.2445,0,0.0489,0,0,0,0.0734,0,0,0.0489,0.0978,0,0.0489,0.0245,0,0,0.0489,0.0245,0,0,0.0734,0,0.0489,0.0245,0.0245,0,0.0245,0.0245,0.0489,0,0,0,0.0245,0.0489,0,0,0,0,0.0489,0.0489,0.0245,0,0.0245,0.0489,0.0245,0,0.0489,0
AT14_FC,0.0624,0.0624,0.025,0,0.0874,0.0125,0,0.0499,0.0374,0.025,0,0,0.0624,0.025,0,0,0,0,0,0,0.0125,0.0125,0.0374,0.0624,0.0125,0.0125,0,0.0499,0.0499,0.0624,0.0125,0.0624,0.4243,0.0125,0.025,0,0,0.0125,0.0374,0.1747,0.2246,0.0998,0.0374,0.0125,0.0374,0.3869,0,0,0.0374,0.0499,0,0.1622,0.0499,0,0.0374,0,0.0374,0.025,0,0
AT14_TC,0.0251,0,0.1257,0,0.0754,0.0251,0,0,0,0.0251,0,0,0.0754,0.1257,0,0.0503,0.0251,0,0.0251,0.0754,0,0,0,0.0251,0.0251,0.0503,0,0,0.0503,0.0251,0.0503,0.0251,0.1006,0.0503,0,0,0.0251,0,0,0.3018,0.0503,0.0251,0,0.0251,0,0.1509,0,0,0.0251,0.0754,0,0.0503,0.0503,0,0,0.0503,0.1509,0.0251,0.1006,0.0251
AT15_FC,0,0.0835,0,0,0.0167,0.0167,0.0167,0,0,0,0,0.0167,0,0.0167,0.0668,0,0.0167,0,0,0.0334,0.0501,0.0334,0.0167,0,0,0.0501,0,0.0334,0,0,0,0,0,0,0.0167,0,0,0,0,0.1503,0,0.0167,0,0,0,0,0,0,0,0,0,0.0501,0.0668,0.0334,0,0,0,0.0167,0,0.0334
AT16_FC,0.0206,0.1031,0,0.0825,0.0412,0.0206,0,0.0206,0.0825,0.0412,0.0412,0.0825,0.1443,0.0206,0.0618,0.0206,0,0.0206,0.0412,0.0206,0,0,0.0412,0,0,0.0412,0.0206,0.0206,0.0825,0.0412,0,0.0206,0,0,0,0.0412,0,0.0206,0.0206,0.1443,0.1031,0.0412,0,0,0.0412,0.1855,0,0,0,0.0412,0,0.1649,0.0206,0,0.0206,0.1031,0.0206,0.0206,0.0618,0.0206
AT17_FC,0.0101,0.0202,0.0706,0.0202,0.0202,0.0202,0,0.0302,0.0504,0.0302,0.0403,0.0403,0.0807,0.0101,0.0403,0.0202,0.0302,0.0101,0.0202,0,0.0302,0.0202,0.0504,0.0101,0.0101,0.0403,0.0101,0.0202,0.0605,0.0302,0.0101,0.0403,0.2823,0.0202,0.0403,0.0202,0.0202,0,0.0202,0.2722,0.1916,0.0807,0,0.0202,0,0.1714,0.0101,0,0.0504,0.0907,0.0302,0.1613,0.0101,0,0.0302,0.0302,0.0202,0.0302,0.0202,0.0101
