ID 	 Symbol 	 ENSG_ID 	 Confidence
hsa.can.1002.m	ABHD2	ENSG00000140526	N
hsa.can.1002.m	AKAP9	ENSG00000127914	N
hsa.can.1002.m	BRWD3	ENSG00000165288	N
hsa.can.1002.m	C1RL	ENSG00000139178	N
hsa.can.1002.m	C5AR1	ENSG00000197405	N
hsa.can.1002.m	CMIP	ENSG00000153815	N
hsa.can.1002.m	CNTN1	ENSG00000018236	N
hsa.can.1002.m	CSF2RB	ENSG00000100368	N
hsa.can.1002.m	DLX5	ENSG00000105880	N
hsa.can.1002.m	EEF1E1	ENSG00000124802	N
hsa.can.1002.m	ERC2	ENSG00000187672	N
hsa.can.1002.m	FAM167A	ENSG00000154319	N
hsa.can.1002.m	HAO1	ENSG00000101323	N
hsa.can.1002.m	LHX4	ENSG00000121454	N
hsa.can.1002.m	MFAP3	ENSG00000037749	N
hsa.can.1002.m	MTR	ENSG00000116984	N
hsa.can.1002.m	NHS	ENSG00000188158	N
hsa.can.1002.m	NOVA1	ENSG00000139910	N
hsa.can.1002.m	NSFL1C	ENSG00000088833	N
hsa.can.1002.m	PCSK5	ENSG00000099139	N
hsa.can.1002.m	PPP1R3B	ENSG00000173281	N
hsa.can.1002.m	PRG4	ENSG00000116690	N
hsa.can.1002.m	PTPN9	ENSG00000169410	N
hsa.can.1002.m	RIMS2	ENSG00000176406	N
hsa.can.1002.m	RNF222	ENSG00000189051	N
hsa.can.1002.m	SLC41A1	ENSG00000133065	N
hsa.can.1002.m	TGIF1	ENSG00000177426	N
hsa.can.1002.m	VLDLR	ENSG00000147852	N
hsa.can.1002.m	VPS26B	ENSG00000151502	N
hsa.can.1002.m	WASHC5	ENSG00000164961	N
hsa.can.1002.m	ZDHHC6	ENSG00000023041	N
hsa.can.1155.m	ABHD2	ENSG00000140526	N
hsa.can.1155.m	ABL2	ENSG00000143322	N
hsa.can.1155.m	ACAP2	ENSG00000114331	N
hsa.can.1155.m	ADAM10	ENSG00000137845	N
hsa.can.1155.m	ADARB1	ENSG00000197381	N
hsa.can.1155.m	ADGRG6	ENSG00000112414	N
hsa.can.1155.m	ADGRL1	ENSG00000072071	N
